Country Name,Country Code,Topic,% of available indicators,Year
Andorra,AND,Assets,0.000,1960
Andorra,AND,Assets,0.000,1961
Andorra,AND,Assets,0.000,1962
Andorra,AND,Assets,0.000,1963
Andorra,AND,Assets,0.000,1964
Andorra,AND,Assets,0.000,1965
Andorra,AND,Assets,0.000,1966
Andorra,AND,Assets,0.000,1967
Andorra,AND,Assets,0.000,1968
Andorra,AND,Assets,0.000,1969
Andorra,AND,Assets,0.000,1970
Andorra,AND,Assets,0.000,1971
Andorra,AND,Assets,0.000,1972
Andorra,AND,Assets,0.000,1973
Andorra,AND,Assets,0.000,1974
Andorra,AND,Assets,0.000,1975
Andorra,AND,Assets,0.000,1976
Andorra,AND,Assets,0.000,1977
Andorra,AND,Assets,0.000,1978
Andorra,AND,Assets,0.000,1979
Andorra,AND,Assets,0.000,1980
Andorra,AND,Assets,0.000,1981
Andorra,AND,Assets,0.000,1982
Andorra,AND,Assets,0.000,1983
Andorra,AND,Assets,0.000,1984
Andorra,AND,Assets,0.000,1985
Andorra,AND,Assets,0.000,1986
Andorra,AND,Assets,0.000,1987
Andorra,AND,Assets,0.000,1988
Andorra,AND,Assets,0.000,1989
Andorra,AND,Assets,0.000,1990
Andorra,AND,Assets,0.000,1991
Andorra,AND,Assets,0.000,1992
Andorra,AND,Assets,0.000,1993
Andorra,AND,Assets,0.000,1994
Andorra,AND,Assets,0.000,1995
Andorra,AND,Assets,0.000,1996
Andorra,AND,Assets,0.000,1997
Andorra,AND,Assets,0.000,1998
Andorra,AND,Assets,0.000,1999
Andorra,AND,Assets,0.000,2000
Andorra,AND,Assets,0.000,2001
Andorra,AND,Assets,0.000,2002
Andorra,AND,Assets,0.000,2003
Andorra,AND,Assets,0.000,2004
Andorra,AND,Assets,0.000,2005
Andorra,AND,Assets,0.000,2006
Andorra,AND,Assets,0.000,2007
Andorra,AND,Assets,0.000,2008
Andorra,AND,Assets,0.000,2009
Andorra,AND,Assets,0.000,2010
Andorra,AND,Assets,0.000,2011
Andorra,AND,Assets,0.000,2012
Andorra,AND,Assets,0.000,2013
Andorra,AND,Assets,0.000,2014
Andorra,AND,Assets,0.000,2015
Andorra,AND,Assets,0.000,2016
Andorra,AND,Assets,0.000,2017
Andorra,AND,Assets,0.000,2018
Andorra,AND,Assets,0.000,2019
Andorra,AND,Assets,0.000,2020
Andorra,AND,Assets,0.000,2021
Andorra,AND,Assets,0.000,2022
Andorra,AND,Assets,0.000,2023
Andorra,AND,Children 0-14,8.462,1960
Andorra,AND,Children 0-14,8.462,1961
Andorra,AND,Children 0-14,8.462,1962
Andorra,AND,Children 0-14,8.462,1963
Andorra,AND,Children 0-14,8.462,1964
Andorra,AND,Children 0-14,8.462,1965
Andorra,AND,Children 0-14,8.462,1966
Andorra,AND,Children 0-14,8.462,1967
Andorra,AND,Children 0-14,8.462,1968
Andorra,AND,Children 0-14,8.462,1969
Andorra,AND,Children 0-14,8.462,1970
Andorra,AND,Children 0-14,8.462,1971
Andorra,AND,Children 0-14,8.462,1972
Andorra,AND,Children 0-14,8.462,1973
Andorra,AND,Children 0-14,8.462,1974
Andorra,AND,Children 0-14,14.615,1975
Andorra,AND,Children 0-14,8.462,1976
Andorra,AND,Children 0-14,8.462,1977
Andorra,AND,Children 0-14,8.462,1978
Andorra,AND,Children 0-14,8.462,1979
Andorra,AND,Children 0-14,8.462,1980
Andorra,AND,Children 0-14,8.462,1981
Andorra,AND,Children 0-14,8.462,1982
Andorra,AND,Children 0-14,14.615,1983
Andorra,AND,Children 0-14,8.462,1984
Andorra,AND,Children 0-14,13.077,1985
Andorra,AND,Children 0-14,15.385,1986
Andorra,AND,Children 0-14,15.385,1987
Andorra,AND,Children 0-14,15.385,1988
Andorra,AND,Children 0-14,15.385,1989
Andorra,AND,Children 0-14,16.923,1990
Andorra,AND,Children 0-14,16.923,1991
Andorra,AND,Children 0-14,16.923,1992
Andorra,AND,Children 0-14,16.923,1993
Andorra,AND,Children 0-14,16.923,1994
Andorra,AND,Children 0-14,16.923,1995
Andorra,AND,Children 0-14,16.923,1996
Andorra,AND,Children 0-14,18.462,1997
Andorra,AND,Children 0-14,18.462,1998
Andorra,AND,Children 0-14,18.462,1999
Andorra,AND,Children 0-14,18.462,2000
Andorra,AND,Children 0-14,18.462,2001
Andorra,AND,Children 0-14,23.846,2002
Andorra,AND,Children 0-14,26.154,2003
Andorra,AND,Children 0-14,26.154,2004
Andorra,AND,Children 0-14,23.846,2005
Andorra,AND,Children 0-14,25.385,2006
Andorra,AND,Children 0-14,25.385,2007
Andorra,AND,Children 0-14,25.385,2008
Andorra,AND,Children 0-14,25.385,2009
Andorra,AND,Children 0-14,26.923,2010
Andorra,AND,Children 0-14,26.923,2011
Andorra,AND,Children 0-14,27.692,2012
Andorra,AND,Children 0-14,26.923,2013
Andorra,AND,Children 0-14,33.846,2014
Andorra,AND,Children 0-14,33.846,2015
Andorra,AND,Children 0-14,35.385,2016
Andorra,AND,Children 0-14,30.000,2017
Andorra,AND,Children 0-14,29.231,2018
Andorra,AND,Children 0-14,28.462,2019
Andorra,AND,Children 0-14,30.000,2020
Andorra,AND,Children 0-14,28.462,2021
Andorra,AND,Children 0-14,29.231,2022
Andorra,AND,Children 0-14,17.692,2023
Andorra,AND,Education,0.000,1960
Andorra,AND,Education,0.000,1961
Andorra,AND,Education,0.000,1962
Andorra,AND,Education,0.000,1963
Andorra,AND,Education,0.000,1964
Andorra,AND,Education,0.000,1965
Andorra,AND,Education,0.000,1966
Andorra,AND,Education,0.000,1967
Andorra,AND,Education,0.000,1968
Andorra,AND,Education,0.000,1969
Andorra,AND,Education,0.000,1970
Andorra,AND,Education,5.521,1971
Andorra,AND,Education,5.521,1972
Andorra,AND,Education,5.521,1973
Andorra,AND,Education,5.521,1974
Andorra,AND,Education,11.656,1975
Andorra,AND,Education,5.521,1976
Andorra,AND,Education,0.000,1977
Andorra,AND,Education,0.000,1978
Andorra,AND,Education,0.000,1979
Andorra,AND,Education,0.000,1980
Andorra,AND,Education,0.000,1981
Andorra,AND,Education,0.000,1982
Andorra,AND,Education,11.656,1983
Andorra,AND,Education,0.000,1984
Andorra,AND,Education,0.000,1985
Andorra,AND,Education,0.000,1986
Andorra,AND,Education,0.000,1987
Andorra,AND,Education,0.000,1988
Andorra,AND,Education,0.000,1989
Andorra,AND,Education,0.000,1990
Andorra,AND,Education,0.000,1991
Andorra,AND,Education,0.000,1992
Andorra,AND,Education,0.000,1993
Andorra,AND,Education,0.000,1994
Andorra,AND,Education,0.000,1995
Andorra,AND,Education,0.000,1996
Andorra,AND,Education,0.613,1997
Andorra,AND,Education,0.000,1998
Andorra,AND,Education,0.000,1999
Andorra,AND,Education,0.000,2000
Andorra,AND,Education,0.000,2001
Andorra,AND,Education,25.153,2002
Andorra,AND,Education,31.288,2003
Andorra,AND,Education,34.356,2004
Andorra,AND,Education,31.902,2005
Andorra,AND,Education,33.742,2006
Andorra,AND,Education,18.405,2007
Andorra,AND,Education,27.607,2008
Andorra,AND,Education,19.018,2009
Andorra,AND,Education,19.632,2010
Andorra,AND,Education,17.178,2011
Andorra,AND,Education,27.607,2012
Andorra,AND,Education,30.061,2013
Andorra,AND,Education,44.785,2014
Andorra,AND,Education,47.239,2015
Andorra,AND,Education,47.853,2016
Andorra,AND,Education,34.356,2017
Andorra,AND,Education,33.742,2018
Andorra,AND,Education,20.245,2019
Andorra,AND,Education,19.018,2020
Andorra,AND,Education,19.018,2021
Andorra,AND,Education,30.061,2022
Andorra,AND,Education,17.791,2023
Andorra,AND,Employment and Time Use,0.000,1960
Andorra,AND,Employment and Time Use,0.000,1961
Andorra,AND,Employment and Time Use,0.000,1962
Andorra,AND,Employment and Time Use,0.000,1963
Andorra,AND,Employment and Time Use,0.000,1964
Andorra,AND,Employment and Time Use,0.000,1965
Andorra,AND,Employment and Time Use,0.000,1966
Andorra,AND,Employment and Time Use,0.000,1967
Andorra,AND,Employment and Time Use,0.000,1968
Andorra,AND,Employment and Time Use,0.000,1969
Andorra,AND,Employment and Time Use,0.000,1970
Andorra,AND,Employment and Time Use,0.000,1971
Andorra,AND,Employment and Time Use,0.000,1972
Andorra,AND,Employment and Time Use,0.000,1973
Andorra,AND,Employment and Time Use,0.000,1974
Andorra,AND,Employment and Time Use,0.000,1975
Andorra,AND,Employment and Time Use,0.000,1976
Andorra,AND,Employment and Time Use,0.000,1977
Andorra,AND,Employment and Time Use,0.000,1978
Andorra,AND,Employment and Time Use,0.000,1979
Andorra,AND,Employment and Time Use,0.000,1980
Andorra,AND,Employment and Time Use,0.000,1981
Andorra,AND,Employment and Time Use,0.000,1982
Andorra,AND,Employment and Time Use,0.000,1983
Andorra,AND,Employment and Time Use,0.000,1984
Andorra,AND,Employment and Time Use,0.000,1985
Andorra,AND,Employment and Time Use,0.000,1986
Andorra,AND,Employment and Time Use,0.000,1987
Andorra,AND,Employment and Time Use,0.000,1988
Andorra,AND,Employment and Time Use,0.000,1989
Andorra,AND,Employment and Time Use,0.000,1990
